sentence,hate,category
"এবং লিখার শেষে ০১–০৮–১৮ লিখে স্যার প্রমাণ করলেন, ৩ তারিখ গভীর রাতে আত্নগোপন হতে বের হলেও স্যার ০১ তারিখ হতে লিখতে ছিলেন। পারেন ও বটে।",0,"meme, tiktok and others"
এবং শাকিব খান এর সাথে দেখতে চাই ওপু বিশ্বাসকে,0,"meme, tiktok and others"
এবগুলো ত ভারতে,0,geopolitical
এবাভে বাংলাদেশের আনাচে কানাচে আরোকত জায়গায় নাজানি এরকম হছছে তার বিচার কি পাছছি,0,entertainment
এবার আপনি কমেন্টগুলো এসে পড়ুন নিজের গলায় আংগুল ঢুকিয়ে হর হর করে বমি করে দিন নিজের উপর।,0,personal
এবার কার হতে কাপ দেখতে চাও? কমেন্ট করে জানিয়ে দাও,0,"meme, tiktok and others"
এবার কি হবে চীন ও পাকিস্তান দুজনা একসাথেই ঢুকে পোড়ছে ভারতেএবার বোধহয় নরেন্দ্র মোদীর পাকাবাল আর অমিত সার কাচাপাকা বাল আর বাচান গেলনাএবার মনেহয় দুজনা মিলে ছিড়ে নিয়ে জাবেই,0,geopolitical
এবার ঠিক আছে গুড ধন্যবাদ আজিজ স্যার সেলুট রইলো,0,"meme, tiktok and others"
এবার তোদের পালা তোদের কাছ থেকে চট্টগ্রাম উত্তর পূর্ব অংশ রাজশাহী ইত্যাদি কেড়ে নিয়ে তোদের কে আবারো পূর্ব পাকিস্তান বানিয়ে তোদের পাকিস্তানী বাপের হাতে তুলে দেওয়া হবে ইয়াদ কর আজ থেকে বছর আগে যখন এই পাকিস্তানী বাপ তোর মাকে ধর্ষণ করছিল তখন এই ভারতেরই দয়ায় তোদের মায়েরা বাঁচতে পেরেছিল আর তোরা বাংলাদেশ হতে পেরেছিলি এখন আমরাও বলছি ভারত সেদিন ভূল করে ছিল সেই ভুল এবার শোধরাব শুধু শুধু পাকিস্তানের সঙ্গে দুশমনি হচ্ছে তোদের মত বেইমান কুত্তার বাচ্চাদের জন্যতোদের কে পাকিস্তানের হাতে তুলেদিলে তারাও আপসে কাশ্মীর ছেড়ে দেবে তারপর তোদের মায়েদের মত তোদেরকেও যখন তারা ধর্ষন করবে তখন বুঝবি তোদের আসল ঔকাত কি শালা তোরা সত্যি কারেই বেইমান জাত রেন্ডিমাগী,0,"calltoviolence, geopolitical"
এবার দারিআলা মোল্লা পাঁঠা গুলো কে বলি দেয়া হবে জয় শ্রী রাম,0,"meme, tiktok and others"
এবার পাছা বাকী আছে,0,"meme, tiktok and others"
এবার বিপিএলে রাজশাহী সেরা এবার কাপ জিতবে ইনশাআল্লাহ। কে কে একমত লাইক দিন �������,0,"meme, tiktok and others"
এবার বিপিএলে রাজশাহী সেরা। রাজশাহীর সামর্থকেরা কই সারা দিন। ��,0,"meme, tiktok and others"
এবারের বি পি এল দেখা হয়নি?,0,"meme, tiktok and others"
এবাৰ মুদী জেলে থাকবে,0,"meme, tiktok and others"
এভাবে অপমান করাটা ঠিক হয়নি তাদের কাজ থেকে মানুষ শিখবে আর তারা এরকম আচরন করলো খুবি খারাপ লাগলো������,0,slander
এভাবে অপমান করার মানে কি �����,0,slander
এভাবে ইনিয়ে বিনিয়ে কল্পকাহীনি না লিখে সরাসরি রাজপথে নেমে অাপনার মতবাদ ও অাদর্শ জনগনের নিকট তুলে ধরুন। জনগনই সিদ্বান্ত নিক ওরা কি চায়?,0,"meme, tiktok and others"
এভাবে ছবি দেখা যায় গোলা প্রিন্ট,0,"meme, tiktok and others"
এভাবে ভিডিও না করে তারা ঐ লোকটিকে থামালে অসুবিধা কি ছিল,0,"meme, tiktok and others"
এমতো মেয়ে মরে গেলে কি হবে,0,"meme, tiktok and others"
এমন আরো ভিডিও চাই,0,"meme, tiktok and others"
"এমন একজন দলকানা ব্যাক্তিকে কিনা প্রিয় ব্যাক্তি মনে করতাম, খোদা ক্ষমা কর এই পাপ।",0,"meme, tiktok and others"
এমন একজন লেখকের নাটক যার নাটকে কোন বিরক্তি নেই... সময় কিভাবে যায় বুঝাই যায়না,0,"meme, tiktok and others"
এমন একটা ভিডিও জন আনলাইক দিয়েছেআমি জাতির কাছে জানতে চাইএরা মানুষ নাকি রাজাকার?,0,"meme, tiktok and others, personal"
"এমন একটা মানুষ চাই রে,<br />Nice song and movie",0,"meme, tiktok and others"
এমন একটা সিদ্ধান্তে যেসব ছাত্রছাত্রী ২য় বারের জন্য প্রস্তুতি নিচ্ছে তাদের কি ব্যবস্থা করা হবে?,0,"meme, tiktok and others"
এমন কাওকে পেলে জিবনদিয়ে তাকে ভাল বশবো,0,"meme, tiktok and others"
এমন কাজ করিস না,0,"meme, tiktok and others"
এমন কাজ করে তাদের কি মা ওবোন নাই ।হারামী মানুষ তারা পশু চাইতে নিচ। অসহাই নারীর উপর ছি ছি বলে গিইনা লাগে।তাদের কঠিন বিচার হোক যেন আর কারো এমন না হ ই।দশকরা কি বলেন আমার মতে আছেন ত,0,"gender, personal"
এমন কাজ জীবনে কখনো দেখিনি বউ এক নম্বার ভিডিওটা করার জন্য ধন্যবাদ,0,"meme, tiktok and others"
এমন কি আছে অজানা বেটা ফাজিল কুতাকার এমন ছবি কেন দিলি অসব‍্য সয়তান,0,"meme, tiktok and others"
এমন কিছু প্রচার করুন যা দেখে ভালো কিছু শিখতে পারবো পর্ণস্টার দের নিয়ে আলোচনা করার কিচ্ছু নাই,0,"meme, tiktok and others"
এমন কেনো আপনি,0,"meme, tiktok and others"
এমন কোন মানুষ নেই যে সাকিব খান ও অপু বিশ্বাস কে এক সাথে দেখতে চাই না আমরা সবাই চাই যে জয়ের সাথে তার মা বাবা থাকুক তুমি তোমার বোউ সান কে মেনে নেও,0,"meme, tiktok and others"
এমন খারাপ কাজের বিরুদ্ধে এমন প্রতিবাদ দেখে সত্যি খুব ভালো লাগলোএমন প্রতিবাদ দুনিয়ার সব বাবা মায়ের জন্য আমাদের সবার করা উচিতহোক সে হিন্দু বা মুসলমানবাবাকে দেখে সত্যি দুঃখ লাগলোঅত্যাচার সহ্য করেও সে পুলিশকে অভিযোগ করলো নাআর আজকালকার সন্তানরা কি দিয়ে তৈরিনিজেকেতো কারো ছেলের বউ বলতে লজ্জা করছেছেলের হাত দুটো আগে ভাঙ্গা উচিত ছিলোআমি সব ছেলেদের বিশেষ অনুরোধ করছি তোমরা বউ এর মন মতো চলতে গিয়ে এমন ভয়ানক কাজ করো নাযার কোন ক্ষমা মৃত্যুর পরে পাবে নাবাবা মাকে বৃদ্ধকালে মন থেকে ভালোবাসোবউকেও অবহেলা করো নাতবে বাবা মাকে ফেলে নয়,0,"personal, religious"
এমন চবি আর জিবনে আসবেনা,0,"meme, tiktok and others"
"এমন চ্যাতেনাময় ব্যাক্তিদের দিয়ে গুরুত্বপুর্ণ মতামত প্রসব করিয়ে হা হা রিয়েক্ট দেয়ার সুযোগ কে করিয়েছেন? তবুও আপনাদের মন পাওয়া যায় না। আপনাদের মত মানুষের জন্যে নিজ উদ্যোগে ৮০% পর্যন্ত কাস্ট করা লাগছে। যান, লাগতোনা আর আপনাদের....",0,"meme, tiktok and others"
এমন ছেলে কে জন্মের সময় গলা টিপে মেরে ফেলা উচিত,0,"meme, tiktok and others"
এমন ছেলে গুলা কেন জন্মের সময় মরে যায় না,0,"meme, tiktok and others"
এমন ছেলে জন্মের পর লবণ খাইয়ে মেরে ফেলা উচিত মনে করি আমি একজন বাবা হিসেবে,0,personal
এমন ছেলে যেন করো গড়ে না দে,0,"meme, tiktok and others"
এমন ছেলে যেন কারও না হয়,0,"meme, tiktok and others"
এমন ছেলেও দুনিয়ায় আছে,0,"meme, tiktok and others"
এমন ছেলেদের আল্লাহ এমন শাস্তি দিক যেন আর কোনদিন বাবা মা এর সাথে এই ধরনের অত্যাচার করতে না পারে,0,"meme, tiktok and others"
এমন ছেলেদের জাহান্নামেও জায়গা হবে না,0,"meme, tiktok and others"
এমন ছেলেদের দুনিয়াতে বেচে থাকার কোনো অধিকার নেই,0,"meme, tiktok and others"
এমন ছেলের ফাঁসি চাই,0,"meme, tiktok and others"
এমন ছেলের ফাঁসি দেওয়া উচিত,0,"meme, tiktok and others"
এমন ছেলের ফাঁসি হওয়া দরকার,0,"meme, tiktok and others"
এমন ছেলের বেঁচে থাকার কোন অধিকার নাই,0,"meme, tiktok and others"
এমন ছেলের হাত থেকে বাবা কে বাঁচান অন্য কোথাও বাবাকে থাকার ব্যবস্থা করুন ‌ আমি খুব কেঁদেছি,0,personal
এমন জেলা প্রকাশক!!! ����,0,"meme, tiktok and others"
এমন দিন আসার আগে যেন মরে যাই,0,"meme, tiktok and others"
এমন নিঃকৃষ্ট ছেলে থাকার চেয়ে না থাকাই ভালোকথায় আছেনা দুষ্ট গরুর চেয়ে শুন্য গোয়াল ভালোওকে উল্টা করে ঝুলায় পিটানো দরকার,0,"meme, tiktok and others"
এমন নিঃস্বার্থ সন্তান মা বাবার ছেলে হতে পারে না,0,"meme, tiktok and others"
এমন বিচারক সামনে পাইলে��,0,"meme, tiktok and others"
এমন বিচারকদের পায়ের জুতা খুলে মারা উচিত এদের নিজেদের কোনো যোগ্যতা নাই এরা আসছে মানুষের ভুল ধরার,0,"meme, tiktok and others"
এমন বেয়াদব ছেলে কে শাশ্তি দেওয়া হোক বাবাকে ধরে মারধর করে,0,"meme, tiktok and others"
এমন ব্রিলিয়ান্ট সালাউদ্দীন প্রয়োজনবর্তমান সময়ে,0,"meme, tiktok and others"
এমন ভন্ডাদের আমরা বাংলার জমিনে দেখতে চাই না����,0,"meme, tiktok and others"
এমন ভিডিও আরোও বানিয়ে যান,0,"meme, tiktok and others"
এমন মানসিকতারর গুনি মহাজন আর গোটাকয়েক থাকলে আজ দেশের এমন পরিস্থিতি হত না। ধন্য আপনার মানসিকতার স্যার।,0,"meme, tiktok and others"
এমন মারা মারমু চেহারা পাল্টাই দিমু কেপাতুললার,0,"meme, tiktok and others"
এমন মেয়ে থাকার চেয়ে না থাকা ভালো,0,"meme, tiktok and others"
এমন মেয়েদের মুখ দেখাও পাপ,0,"meme, tiktok and others"
এমন রিয়েটি সো করার আগে ভালো জাজ একসেপ্ট করুন তাহলে ভালো প্রতিভাবান ব্যক্তি পাবেন। এমন জাজদের দ্বারা ভালো কিছু আসা করা যায় না। অবশেষে বলব মাসুদ রানা চরিত্রে আরফিন শুভকেই নেয়া হউক।,0,"meme, tiktok and others"
এমন লাইভ আমাদের পুরো দেশের ভাবমূর্তি নষ্ট করছে আওয়ামী বি এন পি জামায়াত এটা কোন কথা না ওর মাথা খারাপ হোক আর মদ খাক ওর বিচার বাংলার জমিনে করা উচিত আমি মুসলিম,0,personal
এমন শাস্তি দেয়া উচিত যাতে সারা জীবনের মতো শিক্ষা হয়ে যায়,0,"meme, tiktok and others"
এমন শাস্তি হওয়া উচিত যা দেখে আর কোনো সন্তানের সাহস যেন না হয় বাবা বা মায়ের গায়ে হাত তুলার,0,"meme, tiktok and others"
এমন সনতান থাকার চেয়ে না থাকায় ভালো,0,"meme, tiktok and others"
এমন সন্তান আল্লাহ তুমি কাউকে দিও নাএর চেয়ে নিঃসন্তান থাকা ভালো,0,"meme, tiktok and others"
এমন সন্তান আল্লাহ যেন আর কোনো বাবামাকে না দেয় আল্লাহ তুমি বিচার করো,0,"meme, tiktok and others"
এমন সন্তান কারো ঘর না আসে ওপর বালার কাছে অনুরোধ আর কি বলবো,0,"meme, tiktok and others"
এমন সন্তান থাকার চেয়ে জম্মের সময় মরে যাওয়া উচিত,0,"meme, tiktok and others"
এমন সন্তান থাকার থেকে নিশন্তান থাকা ভালো,0,"meme, tiktok and others"
এমন সন্তান যেন আল্লাহ কাওকে না দিয়ে নিরসন্তানি রাখে,0,"meme, tiktok and others"
এমন সন্তানকে জন্ম দিয়ে মা বাবা কিভুল করেছে আল্লাহ তুমি এর বিচার করো,0,"meme, tiktok and others"
এমন সন্তানের জন্ম না হলেই ভালো হতো,0,"meme, tiktok and others"
এমন সন্তানের ফাসি চাই,0,"meme, tiktok and others"
এমনদরনের মানুষ এই পৃথিবীতে থাকতে পারে আমি কখনো বুঝতে পারি নি বাহ রানু দি বাহ আপনি একজনের জন্য রানা ঘাটের বাকি বিখারিরার ও বিশ্যস হারিএ দিতে চাইতে আছ মনে রেখো,0,personal
এমনি হওয়ার কথা,0,"meme, tiktok and others"
এমনে দেয়,0,"meme, tiktok and others"
এমপি আর মন্ত্রী দের সমস্ত সুযোগ সুবিধা এবং সম্মানী তুলে নিলে কেমন হয় তা দেখার আশায় রইলাম।,0,"meme, tiktok and others"
এমপি সাহেব একটা কথাই বলতে চাই ক্ষমতা থাকুক আর না ই থাকুক বাকি জীবন দুধে ভাতে থাকবেন��এমনকি উদ্বৃত্ত দুধ্য রপ্তানি করে শীর্ষ ধনীও হয়ে যাবেন,0,"meme, tiktok and others"
এমবি কম। দিয়ে দেখতেছি। মোট কথা ভিডিও মিস করা যাবে না �,0,"meme, tiktok and others"
এমরান,0,"meme, tiktok and others"
এমরান খান আপনি জদি না থাকতেন তাহলে কাসমির এর কি হতো আল্লা তৌফিক দান করুক,0,"meme, tiktok and others"
এমিয়া তোমার কোন কাম নাই কালি মিত্যা খবর প্রচার করেন এর জন্য মানুষ তোমাকে গালি দেয় তোমার গালি শুনতে বাল লাগে একনও সময় আচে মিত্যা বলা চার,0,slander
এর আগে শুনলাম যে ওনি না তাবলীগ জামায়াত করে,0,"meme, tiktok and others"
এর আরো ভিডিও শোয়ার করো,0,"meme, tiktok and others"
এর এমন ভাবে জনোসমুকে এমন বিচার করা উচিত আর কোনো সনতান পৃথিবিতে জনমো না হয়,0,"meme, tiktok and others"
এর এমন শান্তি হওয়া উচিত যে কোনো দিন কোনো ছেলে তার বাবা মা গায়ে হাত তুলার আগে হাজার বার ভাবে,0,"meme, tiktok and others"
এর কঠন বিচার হওশা ওচিতযাতে কুনু বাবার গায়ে সন্তান মা বাবার গায়ে হাত না তুলতে পারে,0,"meme, tiktok and others"
এর কঠিন তম বিচার হওয়া ওচিত,0,"meme, tiktok and others"
এর কঠিন বিচারের দাবি জানাই,0,"meme, tiktok and others"
এর কঠিন শাস্ত চাই,0,"meme, tiktok and others"
এর কঠিন শাস্তি হওয়া উচিত,0,"meme, tiktok and others"
এর কঠোর তম সাস্তি চাই,0,"meme, tiktok and others"
এর কম সুনদরির গুসটি কিলাই,0,"meme, tiktok and others"
এর কাযর্কলাপ দেখে এ ও যে তার সন্তান এর বাবা এতে আমার সন্দেহ আছে,0,personal
এর কারখানা এই চৈতালি রায়কে আগে থেকে তাড়ানো উচিত,0,"meme, tiktok and others"
এর কি শাস্তি হইছিল,0,"meme, tiktok and others"
এর কুনু ক্ষমানেই,0,"meme, tiktok and others"
এর কোনো মানসিক রোগ আছে,0,"meme, tiktok and others"
এর খাইয়া কাজ নাই এক টা নষ্ট দুধ ওয়ালিরে লইয়া ফইরা আছে জাকির নায়েক ঠিক এই বলে মিডিয়ার সৃষ্টি। মিডিয়া দেখি খারাপ টাই বেশি সামনে নিয়া আসে।,0,"meme, tiktok and others"
এর গজব সাথে সাথেই দেওয়া দরকার,0,"meme, tiktok and others"
এর চাইতে আমি ভাল ব্যাট করতে পারি,0,personal
এর জন্য শাকিব খান দায়ী কারণ অপু কে দিনের পথে এনেও ছেড়ে দিয়েছে এরজন্য শাকিব কে আগে জবাব দিতে হবে আর অপু আপু কে বলবো তুমিও এমন পোশাক পয়রোনা আপু আমরা তোমাকে অনেক ভালোবাসি তুমাকে নিয়ে কেউ খারাপ ও আজেবাজে কথা শুনতে ভালো লাগে না,0,"meme, tiktok and others"
এর জন্য শাকিব দায়ী এরা দুজনেই ইসলাম ধর্ম নিয়ে খেলা করেছেন তাই ওদের দুজনের বিচার হওয়া দরকার,0,"religious, sports"
এর জামা কাপর খুলে নিয়ে যান,0,"meme, tiktok and others"
এর টা একটু দেয়া যাবে,0,"meme, tiktok and others"
এর তোমার উপর শান্তি এবং আল্লাহ র রহমত বরষিত হোক । ! !!!!,0,"meme, tiktok and others"
এর থেকে খারাপ মেয়ে সমাজে অনেক আছেকিন্তু সেলিব্রটিদের গুলা বেশি চোখে পরেকিন্ত্য দেখেন আপনার বাডির পাশেই অনেক মেয়ে এর থেকেও গোপনে অনেক কিছু করছে,0,"meme, tiktok and others"
এর থেকে দুঃখ আর কি আছে,0,"meme, tiktok and others"
এর থেকে সুন্দর সিনেমা হয় নাকি❤ অসাধারণ � তবে এখন কেনো এই লেভেলের ছবি তৈরি হয় না�,0,"meme, tiktok and others"
এর দ্বারা কিছু হবে না...,0,"meme, tiktok and others"
এর ধরিয়ে দিলে পারলে লক্ষ টাকা পুরস্কার,0,"meme, tiktok and others"
এর ধরে আগে মারলেন না কেন,0,"meme, tiktok and others"
এর নকল করতে চাচ্ছে মাসুদ রানার মাধ্যমে। বাংলাদেশের সবথেকে ব‍্যর্থ মানুষ গুলো কে মনে হয় জাজ বানিয়েছে। নিজেদের যে কি মনে করতেছে জাজরা আল্লাহ জানে।সো এর টি আর পি বাড়ানোর ধান্দা।গল্প কে বাস্তবে নিয়ে আসার ব‍্যর্থ চেষ্টা করতেছে।আর ইউটিউব এ প্রচার করে ভিউ বাড়াচ্ছে‌। এগুলো ব‍্যান হয় না কেনো,0,"meme, tiktok and others"
এর নরকেও স্থান হবে না,0,"meme, tiktok and others"
এর নাম লেখাপড়া !,0,"meme, tiktok and others"
এর পরেও কিছু তথাকথিত লোক কমেন্টে তাদের বংশপরিচয় সুন্দর ভাবে ফুটিয়ে তুলবে।,0,"meme, tiktok and others"
এর পিছনে বউয়ের ইন্ধন আছে,0,"meme, tiktok and others"
এর ফাসি ঽওয়া চাই,0,"meme, tiktok and others"
এর বাড়ী কোথায় কোথাকার ঘটনা এটা,0,"meme, tiktok and others"
এর বিচার উপরওয়ালার কাছেই আছে ও সারাজীবন সুখে থাকতে পারবে না এতগুলো লোকের অভিশাপ টাও বাদ যাবে না,0,"meme, tiktok and others"
এর বিচার চাই বিচার চাই,0,"meme, tiktok and others"
এর বিচার চাই সাথে ছেলের বিবির কেন বাধা দিল না,0,"meme, tiktok and others"
এর ব্যপারে আইনি ব্যবস্হা নেওয়া হোক,0,"meme, tiktok and others"
এর ভিডিও দেখলাম।তার পরে আপনারটা দেখতে বসলাম।�����সুপার,0,"meme, tiktok and others"
এর ভিতরে কি তাহলে বিএনপিজামাত আছে,0,political
এর মতো বেয়াদবের বেঁচে থাকার অধিকার নাই ওর ফাঁসি চাই,0,"meme, tiktok and others"
এর মানে কী �������������,0,"meme, tiktok and others"
এর মেয়েরা কেমন বললেন না যে,0,"meme, tiktok and others"
এর যদি চাকরি থাকে তাহলে বুঝবো ইন্ডিয়াতে কোন আইন নেই বাংলাদেশ থেকে,0,"meme, tiktok and others"
এর শাস্তি হউকচরম শাস্তি হউক,0,"meme, tiktok and others"
এর সাথে তুলনা হয় না কাদের তো দুরের কথা,0,"meme, tiktok and others"
এর সাস্তিহওয়া উচিতআর যেন কোন সন্তান এ ভাবে বাবামার গায়ে হাত না দেই,0,"meme, tiktok and others"
"এর। আগে বহু বার দেখেছি ..!!! কিন্তূ মন ভরে না , শিকদার সাহেবের অভিনয় দেখে আমি পুরা ফিদা.....!!!!���",0,personal
এরকম অনেকেই আছেন গান করে না শিখে,0,entertainment
এরকম আইন বাংলাদেশে থাকা দরকার,0,"meme, tiktok and others"
এরকম একজন মহান মানুষের উপরে এতজনের রাগ বা বিদ্বেষ কেন? ব্যাপারটা কি একটু খুলে বলবেন?,0,"meme, tiktok and others"
এরকম কলঙ্ক ময় ছেলেদের শিক্ষা দেয়া দরকার,0,"meme, tiktok and others"
এরকম কু সন্তান যেনো কোনো মানুষের না হয়,0,"meme, tiktok and others"
এরকম কে গো,0,"meme, tiktok and others"
এরকম চ্যানেল বন্ধ করে দেওয়া উচিৎ,0,"meme, tiktok and others"
এরকম ছবি আর হবে না,0,"meme, tiktok and others"
এরকম ছেরে বেচে থাকার দরকার নেই,0,"meme, tiktok and others"
এরকম ছেলে থাকার চেয়ে না থাকাই ভালো ও কে ফাসি চাই,0,"meme, tiktok and others"
এরকম ছেলে থাকার চেয়ে নিঃসন্তান হয়ে থাকা অনেক ভালো তাহলে এইভাবে বুড়ো বাবাদের গায়ে হাত তোলা থেকে বাবারা বিরত থাকবে যেই সন্তানকে বাবা এত কষ্ট করে গায়ের রক্ত ঝরিয়ে তাকে বড় করেছে আজ দেখো সেই ছেলে কিভাবে তার বাবার গায়ে হাত তুলছে তার একটুও খারাপ লাগছে না যে আমি আমার বাবাকে কিভাবে মারবো,0,personal
এরকম ছেলের ফাসি হওয়া উচিৎ,0,"meme, tiktok and others"
এরকম জঘন্য সন্তানের প্রতি তীব্র নিন্দা জানাচ্ছি যারা তাদের পিতামাতার প্রতি এরকম নিকৃষ্ট আচরণ করে ধিক্কার জানাই তাদেরকে প্রস্তুত থাকুন আপনিও এর জন্য,0,entertainment
এরকম পশু দুনিয়াতে থাকার থেকে না থাকাই শ্রেয় তার এই কাজের জন্য,0,"meme, tiktok and others"
এরকম প্রতিবাদ টা জরুরী ছিল,0,"meme, tiktok and others"
এরকম প্রশাসন চাই,0,"meme, tiktok and others"
এরকম বলাটা উচিত ছিলো না,0,"meme, tiktok and others"
এরকম ব্যাক্তির দৃষ্টান্তস্বরূপ শাস্তি প্রযোজ্য বয়স্ক ব্যাক্তিটির সুস্থতা কামনা করছি তার ইহকাল এবং পরকাল শান্তিতে কাটুক খুব খারাপ লাগল,0,"meme, tiktok and others"
এরকম মিথ্যা খবর পরিবেসন করিলে তোমাদের চেনেল বন্দ হয়েযাবে,0,"meme, tiktok and others"
এরকম মুভিই আমাদের দরকার পুরো মুদরাই জোস বিষেশ করে রমজান কাকার অভিনয় টা অতুলনিয় ���,0,entertainment
এরকম রাষ্ট্রপতি বাংলাদেশ আর পাবেন কিনা জানিনাতবে মজা পাইছি,0,entertainment
এরকম সন্তান জন্ম দেওয়ার থেকে না দেওয়ায় ভাল,0,"meme, tiktok and others"
এরকম সন্তানকে ইসলাম ধর্ম অনুযায়ী সবার সামনে ফাঁসি দেওয়া উচিত,0,religious
এরকম সানি লিয়নকে পাসার মধ্যে কাঁচা বেত দিয়া মাইর দেয়া উচিত। পরিবেশ নষ্ট করার কোন অধিকার কারো নাই। এসব মানুষকে লাইভে না অানার জন্য এই চ্যানেলকে অনুরোধ করা হল। আপনারা ভাল কিছু অনুষ্ঠান করেন যা দিয়ে মানুষ কিছু শিখতে পারে,0,"meme, tiktok and others"
এরকমটাই হওয়া উচিৎ সারা পৃথিবীতে,0,"meme, tiktok and others"
এরকৃ ছেলে মরে জাওয়া উচিদ,0,"meme, tiktok and others"
এরদুগান তুমি সপলহও পুরা মুসলিম জাতি ধোয়াকরি ইনসাআল্লাহ আল্লাহ আচেন তোমারসাতে,0,entertainment
এরপর ও বাবা বলছেন আমি তো কাওকে বলেনি,0,personal
"এরপর, ২০১৩ সালে শাহবাগ আন্দোলনে ব্লগার এবং সামাজিক যোগাযোগ মাধ্যমের ভূমিকা নিয়ে জাফর ইকবাল লিখেছেন- 'আমি এখানে এসেছি তোমাদের কাছে ক্ষমা চাইবার জন্য। আমি পত্রিকায় লিখেছি যে, এই নতুন জেনারেশান খালি ফেইসবুকে লাইক দেয়। এরা আর কিছু করেনা। আমি লিখেছি, এরা খালি ব্লগ করে। এরা আর কিছু করেনা। এরা রাস্তায় নামেনা। তোমরা আমাকে ভুল প্রমাণিত করেছো। এই দেখো, এখানে (শাহবাগ আন্দোলনে) ব্লগারেরা আছে। এই ব্লগাররা সারা পৃথিবীতে যেটা হয় নাই, সেটাই এখানে ঘটিয়ে দিয়েছে। তোমাদের কাছে ক্ষমা চাই। আমাকে ক্ষমা করে দিও সবাই' মুহাম্মদ জাফর ইকবাল। ১৭ ই ফেব্রুয়ারি, ২০১৩। শাহবাগ গণজাগরণ মঞ্চ। অর্থাৎ, আমাদের জাফর ইকবাল মনে করতেন, তরুণ প্রজন্ম খালি ফেইসবুক চালায়, আর কিছু করেনা। কিন্তু ব্লগাররা যখন সামাজিক যোগাযোগ মাধ্যম ব্যবহার করে শাহবাগ গণজাগরণ মঞ্চের মতো বিরাট (!) আন্দোলন করে ফেললো, তখন জাফর ইকবাল তরুণদের কাছে ক্ষমা চাইলো। তিনি বললেন, এই সামাজিক যোগাযোগ মাধ্যম ব্যবহার করে ব্লগাররা এমন কাজ করে দেখিয়েছে, যা পৃথিবীর আর কোথাও হয় নাই। তিনি ক্ষমা চেয়েছেন। এবার দেখুন, ২০১৮ সালে সামাজিক যোগাযোগ মাধ্যম ব্যবহার করা নিয়ে সেই জাফর ইকবাল লিখেছেন- 'এ ধরনের হামলা বা জঙ্গি কর্মকাণ্ড ঠেকানোর জন্য জনমত গঠনে গণমাধ্যম বড় ধরনের ভূমিকা রাখতে পারে। তবে আমি সামাজিক যোগাযোগ মাধ্যম নিয়ে বিশেষ কিছু জানি না, সেটি দিয়ে কতটুকু কী করা যায়, তা আমার জানা নেই। সামাজিক যোগাযোগ মাধ্যম দিয়ে পৃথিবীতে খুব বড় কোনও কাজ হয়েছে বলেও আমার জানা নেই। তবে বুদ্ধিবৃত্তির বিকাশ বন্ধ করে দেওয়া হয়েছে, এ রকম উদাহরণ অনেক আছে।' 'বাংলা ট্রিবিউনের কাছে দায়িত্বশীল ভূমিকা আশা করি'। মুহাম্মদ জাফর ইকবাল। ১২ মে, ২০১৮। ২০১৩ সালে তিনি বলেছেন, সামাজিক যোগাযোগ মাধ্যম দিয়ে (উনার মতে) এমন বিপ্লব ঘটানো হয়েছে যা পৃথিবীতে আর কোথাও হয় নাই। আবার, ২০১৮ তে এসে বললেন, - সামাজিক যোগাযোগ মাধ্যম দিয়ে পৃথিবীতে খুব বড় কোন কাজ হয়েছে বলে উনি নাকি জানেন না। এই যোগাযোগ মাধ্যমের তো কোন ভ্যালুই নাই, উনার মতে, এটা যে উল্টো মেধা বিনষ্ট করে, তার কাছে এরকম ভুরি ভুরি উদাহরণ আছে। দেখুন, একজন মানুষের একই অঙ্গে কতো রূপ। তরুণ সমাজের আইডল, যিনি উঠতে বসতে দেশ আর উঠতি প্রজন্মকে চেতনার বায়োস্কোপে মুক্তিযুদ্ধের দৃশ্য দেখান,সেই তিনি সময়ে সময়ে কিভাবে নিজের রঙ বদলান। এমন দু'মুখো সাপ, নীতিবিহীন লোককে যারা বুদ্ধিজীবী মনে করে, নিজের আইডল মনে করে, তাদের জন্য করুণা। 'এই তিনি - সেই তিনি'/ আরিফ আজাদ",0,"calltoviolence, crime, personal"
এরশাদের লগে বন্ধুত্ত করা দরকার,0,"meme, tiktok and others"
এরা অপরাধি ছিলো নাআল্লাহ তাদেরকে কিয়ামতের মাঠে বিচার করবে,0,crime
এরা আমলিগের ভয়ে সত্যা বলছেনা আমাদের নুরু ভাইয়ের পাসে থাকা দরকার।,0,"meme, tiktok and others"
এরা আমাদের ড়েশের সম্পদ,0,"meme, tiktok and others"
এরা আলেমদের না ভন্ড আমাদের দেশে আছে এই ধরনের নেই তারা বলে আমার পতি দরুদ না পরলে নামাজ হবেনা আমি নুরের ত ইরী এই ধরনের,0,personal
এরা ই হিংসা তেকে জুদ্দে জড়াতে বাধ্য করে,0,"meme, tiktok and others"
এরা এইদেশের আসলে নস্ট নেতা,0,"meme, tiktok and others"
এরা কি ধরনের মেয়ে,0,"meme, tiktok and others"
এরা কি ভাবে হলো বিচারক হায় হায়,0,"meme, tiktok and others"
এরা কিন্তুু এই শো থেকে ঝড়গা করছে মিতিলা আসলে খরাপ মেয়ে ছিল,0,"meme, tiktok and others"
